City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,Upernavik,72.7868,-56.1549,24.49,92,100,6.96,overcast clouds,2021-11-03 20:58:59
1,Luderitz,-26.6481,15.1594,58.96,61,3,15.5,clear sky,2021-11-03 20:58:36
2,Albany,42.6001,-73.9662,47.17,56,71,8.88,broken clouds,2021-11-03 21:00:02
3,Cape Town,-33.9258,18.4232,61.27,80,40,6.91,scattered clouds,2021-11-03 20:58:44
4,Punta Arenas,-53.15,-70.9167,55.11,47,96,17.49,overcast clouds,2021-11-03 21:00:22
5,Tuktoyaktuk,69.4541,-133.0374,19.4,93,75,8.05,broken clouds,2021-11-03 21:01:48
6,Oranjestad,12.524,-70.027,84.15,74,20,18.41,few clouds,2021-11-03 21:03:15
7,Tiksi,71.6872,128.8694,-10.35,98,92,9.19,overcast clouds,2021-11-03 21:03:15
8,Dikson,73.5069,80.5464,14.86,93,71,8.1,broken clouds,2021-11-03 21:01:42
9,Wanning,18.8003,110.3967,75.72,90,60,3.8,broken clouds,2021-11-03 21:02:22
10,Ribeira Grande,38.5167,-28.7,68.4,94,75,18.41,broken clouds,2021-11-03 21:04:57
11,Hermanus,-34.4187,19.2345,59.9,79,3,11.7,clear sky,2021-11-03 21:01:41
12,Chuy,-33.6971,-53.4616,65.1,97,100,13.27,overcast clouds,2021-11-03 21:01:43
13,Port Shepstone,-30.7414,30.455,65.37,80,54,12.64,broken clouds,2021-11-03 21:04:58
14,Brumunddal,60.881,10.9395,43.27,92,100,3.2,light rain,2021-11-03 21:04:58
15,Atuona,-9.8,-139.0333,78.03,66,61,12.44,broken clouds,2021-11-03 20:58:33
16,Clive,41.603,-93.7241,49.37,55,90,8.99,overcast clouds,2021-11-03 21:04:58
17,Cukai,4.25,103.4167,76.37,87,100,3.44,overcast clouds,2021-11-03 21:04:58
18,Arraial Do Cabo,-22.9661,-42.0278,73.36,83,40,11.5,scattered clouds,2021-11-03 20:58:11
19,Busselton,-33.65,115.3333,42.08,87,89,4.88,overcast clouds,2021-11-03 21:04:59
20,Rikitea,-23.1203,-134.9692,73.8,73,100,14.99,overcast clouds,2021-11-03 21:00:21
21,Gummidipundi,13.4,80.15,77.0,87,96,3.67,moderate rain,2021-11-03 21:04:59
22,Cidreira,-30.1811,-50.2056,68.59,94,100,16.87,overcast clouds,2021-11-03 21:01:48
23,Marsa Matruh,31.3525,27.2453,73.63,71,0,8.43,clear sky,2021-11-03 21:05:00
24,Vaini,-21.2,-175.2,77.67,80,97,14.79,overcast clouds,2021-11-03 21:02:02
25,Coihaique,-45.5752,-72.0662,50.61,66,90,9.22,light intensity shower rain,2021-11-03 21:05:00
26,Meulaboh,4.1363,96.1285,75.63,90,100,3.11,overcast clouds,2021-11-03 21:05:01
27,Sola,-13.8833,167.55,78.87,78,99,7.9,light rain,2021-11-03 21:05:01
28,Mao,39.8885,4.2658,54.16,76,0,3.44,clear sky,2021-11-03 21:01:18
29,Rantauprapat,2.1,99.8333,73.42,97,100,0.67,overcast clouds,2021-11-03 21:05:02
30,Ushuaia,-54.8,-68.3,46.53,84,100,7.67,overcast clouds,2021-11-03 21:00:43
31,Iqaluit,63.7506,-68.5145,20.7,79,65,10.0,broken clouds,2021-11-03 21:05:03
32,Hilo,19.7297,-155.09,82.26,65,40,4.61,scattered clouds,2021-11-03 20:57:30
33,Nikolskoye,59.7035,30.7861,44.87,89,100,9.42,light rain,2021-11-03 21:01:45
34,Paita,-5.0892,-81.1144,72.16,76,26,16.93,scattered clouds,2021-11-03 21:05:04
35,Lopandino,52.4666,34.8163,48.58,95,100,8.16,overcast clouds,2021-11-03 21:05:05
36,Hobart,-42.8794,147.3294,59.11,90,0,5.75,clear sky,2021-11-03 20:57:40
37,New Norfolk,-42.7826,147.0587,57.76,81,6,1.01,clear sky,2021-11-03 21:05:05
38,Kautokeino,69.0125,23.0412,34.65,99,100,8.08,overcast clouds,2021-11-03 21:05:06
39,Charters Towers,-20.1,146.2667,71.35,65,0,13.56,clear sky,2021-11-03 21:05:06
40,Tulum,20.2167,-87.4667,84.92,61,48,6.89,scattered clouds,2021-11-03 21:00:23
41,Berdigestyakh,62.0989,126.6992,10.51,99,95,3.56,overcast clouds,2021-11-03 21:00:39
42,Yatou,37.15,122.3833,53.55,76,0,5.68,clear sky,2021-11-03 21:05:07
43,Barrow,71.2906,-156.7887,26.62,80,90,16.11,mist,2021-11-03 21:04:16
44,Iquique,-20.2208,-70.1431,65.68,72,37,7.54,scattered clouds,2021-11-03 21:01:29
45,Bluff,-46.6,168.3333,56.8,65,29,4.63,scattered clouds,2021-11-03 21:01:49
46,Chokurdakh,70.6333,147.9167,-9.92,99,94,6.6,overcast clouds,2021-11-03 21:06:08
47,Ahipara,-35.1667,173.1667,57.72,71,80,5.77,broken clouds,2021-11-03 21:06:08
48,Pevek,69.7008,170.3133,-14.67,98,22,7.52,few clouds,2021-11-03 21:06:09
49,Port Elizabeth,-33.918,25.5701,56.1,84,0,4.38,clear sky,2021-11-03 21:06:09
50,Nalut,30.3333,10.85,74.43,22,4,12.8,clear sky,2021-11-03 21:06:09
51,Kupang,-10.1667,123.5833,79.63,85,91,8.1,overcast clouds,2021-11-03 21:06:10
52,Butaritari,3.0707,172.7902,83.17,71,100,15.73,overcast clouds,2021-11-03 21:06:10
53,Whitley Bay,55.0397,-1.4471,45.28,84,75,11.5,broken clouds,2021-11-03 21:02:01
54,Tabuk,17.4189,121.4443,71.01,93,46,2.64,scattered clouds,2021-11-03 21:06:11
55,Virginia Beach,36.8529,-75.978,54.05,52,14,1.01,few clouds,2021-11-03 21:06:11
56,Port Keats,-14.25,129.55,82.81,75,50,1.9,scattered clouds,2021-11-03 21:06:11
57,Amahai,-3.3333,128.9167,77.83,87,88,3.89,overcast clouds,2021-11-03 21:06:12
58,Mahuta,-10.8667,39.45,69.55,93,38,6.11,scattered clouds,2021-11-03 21:06:12
59,Qaanaaq,77.484,-69.3632,4.96,59,0,8.41,clear sky,2021-11-03 21:06:12
60,Pinotepa De Don Luis,16.4167,-97.9167,82.36,62,99,4.74,overcast clouds,2021-11-03 21:06:13
61,Point Fortin,10.1833,-61.6833,84.15,73,100,11.41,overcast clouds,2021-11-03 21:06:13
62,Hongjiang,27.11,109.9956,61.21,97,100,0.89,overcast clouds,2021-11-03 21:06:13
63,Muros,42.7762,-9.0603,52.23,94,80,8.48,broken clouds,2021-11-03 21:06:14
64,Mar Del Plata,-38.0023,-57.5575,64.42,99,40,8.99,scattered clouds,2021-11-03 21:06:14
65,Yaan,7.3833,8.5667,80.02,66,90,4.7,overcast clouds,2021-11-03 21:06:14
66,Ajaccio,42.0,8.9167,57.25,82,75,6.91,light rain,2021-11-03 21:06:15
67,Sao Joao Da Barra,-21.6403,-41.0511,75.29,85,33,16.84,scattered clouds,2021-11-03 21:03:59
68,Itarema,-2.9248,-39.9167,80.38,74,2,14.81,clear sky,2021-11-03 21:03:00
69,Inhambane,-23.865,35.3833,72.25,89,7,9.22,clear sky,2021-11-03 21:06:15
70,San Quintin,30.4833,-115.95,69.12,69,0,13.82,clear sky,2021-11-03 21:06:16
71,Tasiilaq,65.6145,-37.6368,30.36,82,24,8.3,few clouds,2021-11-03 21:06:16
72,Kodiak,57.79,-152.4072,42.28,72,79,15.77,broken clouds,2021-11-03 21:06:16
73,Ubinskoye,55.3068,79.6802,1.02,97,16,5.35,few clouds,2021-11-03 21:06:17
74,Lincoln,40.8,-96.667,49.44,69,90,4.0,overcast clouds,2021-11-03 21:03:30
75,Owando,-0.4819,15.8999,70.72,97,47,1.16,light rain,2021-11-03 21:06:17
76,Ancud,-41.8697,-73.8203,54.43,82,84,16.91,light rain,2021-11-03 21:06:17
77,Aklavik,68.2191,-135.0107,14.7,93,80,7.85,broken clouds,2021-11-03 21:06:18
78,Svetlogorsk,52.6333,29.7333,41.81,90,7,7.9,clear sky,2021-11-03 21:06:18
79,Asau,46.4333,26.4,45.75,63,96,2.71,light rain,2021-11-03 21:06:18
80,Mayo,38.8876,-76.5119,52.41,47,20,4.0,few clouds,2021-11-03 21:06:18
81,Khandyga,62.6667,135.6,15.26,97,100,3.67,overcast clouds,2021-11-03 21:06:19
82,Jamestown,42.097,-79.2353,40.71,69,96,5.01,overcast clouds,2021-11-03 20:58:38
83,Tiarei,-17.5333,-149.3333,84.22,80,42,14.67,light rain,2021-11-03 21:02:29
84,Saint-Pierre,-21.3393,55.4781,71.28,72,0,4.61,clear sky,2021-11-03 21:06:19
85,Tabou,4.423,-7.3528,78.21,84,86,6.4,overcast clouds,2021-11-03 21:06:20
86,Srednekolymsk,67.45,153.6833,-10.89,93,52,6.69,broken clouds,2021-11-03 21:06:20
87,Giresun,40.5,38.5,29.52,87,95,3.29,overcast clouds,2021-11-03 21:06:20
88,Kisoro,-1.2854,29.685,57.06,98,88,2.19,light rain,2021-11-03 21:06:21
89,Victoria,22.2855,114.1577,77.32,86,97,1.99,overcast clouds,2021-11-03 20:59:04
90,Avarua,-21.2078,-159.775,78.85,69,40,11.5,scattered clouds,2021-11-03 21:01:48
91,Pangnirtung,66.1451,-65.7125,14.09,83,95,5.59,overcast clouds,2021-11-03 21:07:21
92,Egvekinot,66.3167,-179.1667,0.21,80,100,11.27,overcast clouds,2021-11-03 21:07:21
93,Karpogory,64.0019,44.4451,37.92,86,100,9.33,overcast clouds,2021-11-03 21:07:22
94,Hamilton,39.1834,-84.5333,51.21,43,40,8.05,scattered clouds,2021-11-03 21:03:51
95,Lagoa,39.05,-27.9833,67.6,85,100,21.59,overcast clouds,2021-11-03 21:07:22
96,Okhotsk,59.3833,143.3,17.92,86,26,9.55,scattered clouds,2021-11-03 21:07:22
97,Sorkjosen,69.8,20.9333,41.43,87,100,9.44,overcast clouds,2021-11-03 21:03:10
98,Yinchuan,38.4681,106.2731,47.95,44,0,4.79,clear sky,2021-11-03 21:07:23
99,Yellowknife,62.456,-114.3525,41.41,96,76,9.46,broken clouds,2021-11-03 21:07:23
100,Pauini,-7.7136,-66.9764,87.75,53,97,2.62,moderate rain,2021-11-03 21:07:23
101,Rincon,32.296,-81.2354,66.85,72,75,8.05,broken clouds,2021-11-03 21:07:24
102,Georgetown,5.4112,100.3354,78.73,90,20,4.61,moderate rain,2021-11-03 21:00:34
103,Marzuq,14.4,46.4667,70.68,25,4,2.04,clear sky,2021-11-03 21:02:24
104,Coahuayana,18.7333,-103.6833,86.59,63,93,5.77,overcast clouds,2021-11-03 21:07:24
105,Thompson,55.7435,-97.8558,35.76,69,1,3.44,clear sky,2021-11-03 20:55:56
106,San Joaquin,37.9333,-121.3011,75.79,61,1,3.44,clear sky,2021-11-03 21:01:48
107,Korla,41.7597,86.1469,43.7,35,96,3.67,overcast clouds,2021-11-03 21:07:24
108,Tarakan,3.3,117.6333,78.3,89,75,9.22,moderate rain,2021-11-03 21:07:25
109,Ranong,9.9658,98.6348,77.11,90,93,4.41,overcast clouds,2021-11-03 21:07:25
110,Caucaia,-3.7361,-38.6531,82.35,77,0,9.22,clear sky,2021-11-03 21:07:25
111,Ginda,30.6945,78.4932,45.41,45,0,6.46,clear sky,2021-11-03 21:07:26
112,La Ronge,55.1001,-105.2842,43.2,37,3,4.16,clear sky,2021-11-03 21:07:26
113,Port Alfred,-33.5906,26.891,63.21,88,0,1.48,clear sky,2021-11-03 21:00:29
114,Seddon,-37.8068,144.8916,58.98,79,90,9.22,overcast clouds,2021-11-03 21:07:26
115,Bonthe,7.5264,-12.505,79.18,82,53,4.9,light rain,2021-11-03 21:07:27
116,Urambo,-5.0667,32.05,63.66,89,60,5.06,broken clouds,2021-11-03 21:07:27
117,Zyryanka,65.75,150.85,-4.77,91,80,4.97,broken clouds,2021-11-03 21:07:27
118,Vardo,70.3705,31.1107,41.2,93,75,13.8,broken clouds,2021-11-03 21:07:28
119,Libreville,0.3925,9.4537,75.22,100,75,4.61,thunderstorm with light rain,2021-11-03 21:07:28
120,Sumbe,-11.2061,13.8437,75.76,83,66,8.48,broken clouds,2021-11-03 21:04:17
121,Kapaa,22.0752,-159.319,81.12,59,15,1.01,light rain,2021-11-03 21:01:44
122,Longyearbyen,78.2186,15.6401,19.24,73,75,25.32,light shower snow,2021-11-03 20:59:24
123,Beyneu,45.3167,55.2,41.52,37,95,23.62,overcast clouds,2021-11-03 21:07:29
124,Grand Gaube,-20.0064,57.6608,73.38,78,3,1.99,clear sky,2021-11-03 21:07:29
125,Airai,-8.9266,125.4092,60.84,90,89,3.4,overcast clouds,2021-11-03 21:01:44
126,Itaituba,-4.2761,-55.9836,85.06,64,95,1.99,light rain,2021-11-03 21:07:30
127,Guerrero Negro,27.9769,-114.0611,72.55,62,3,13.44,clear sky,2021-11-03 21:07:30
128,Rapid City,44.0805,-103.231,62.33,37,1,1.01,clear sky,2021-11-03 21:07:30
129,Huarmey,-10.0681,-78.1522,68.56,74,57,9.51,broken clouds,2021-11-03 21:07:31
130,San Cristobal,7.7669,-72.225,75.38,65,100,1.5,overcast clouds,2021-11-03 21:04:29
131,Bandarbeyla,9.4942,50.8122,77.04,69,31,8.9,scattered clouds,2021-11-03 21:07:31
132,Isangel,-19.55,169.2667,75.04,67,56,10.65,broken clouds,2021-11-03 21:07:31
133,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,80.42,89,98,2.08,overcast clouds,2021-11-03 21:07:32
134,Komsomolskiy,40.4272,71.7189,52.52,46,75,4.61,broken clouds,2021-11-03 21:07:32
135,Hay River,60.8156,-115.7999,42.15,59,98,13.13,overcast clouds,2021-11-03 21:07:01
136,Esperance,-33.8667,121.9,55.6,74,12,7.54,few clouds,2021-11-03 21:07:32
137,Hithadhoo,-0.6,73.0833,82.15,76,85,15.93,overcast clouds,2021-11-03 21:08:33
138,Kahului,20.8947,-156.47,84.97,74,40,21.85,scattered clouds,2021-11-03 21:03:03
139,Nikki,9.9401,3.2108,79.32,41,9,4.43,clear sky,2021-11-03 21:08:33
140,Bilma,18.6853,12.9164,83.8,16,1,5.66,clear sky,2021-11-03 21:00:25
141,Cayenne,4.9333,-52.3333,84.24,78,0,5.01,clear sky,2021-11-03 21:00:30
142,Lebu,-37.6167,-73.65,54.84,61,3,9.62,clear sky,2021-11-03 21:08:34
143,Saskylakh,71.9167,114.0833,-8.59,93,69,9.17,broken clouds,2021-11-03 21:08:34
144,Buchanan,5.8808,-10.0467,79.92,79,53,6.82,broken clouds,2021-11-03 21:08:34
145,Rudsar,37.1376,50.288,63.59,93,98,2.68,overcast clouds,2021-11-03 21:08:35
146,Saldanha,-33.0117,17.9442,60.04,85,5,7.2,clear sky,2021-11-03 21:08:35
147,Vila Franca Do Campo,37.7167,-25.4333,68.2,90,100,10.71,overcast clouds,2021-11-03 21:08:35
148,Howard,39.2504,-76.933,51.01,49,48,1.01,scattered clouds,2021-11-03 21:05:56
149,Mataura,-46.1927,168.8643,56.48,49,30,2.33,scattered clouds,2021-11-03 21:01:50
150,Salalah,17.0151,54.0924,77.09,65,0,4.61,clear sky,2021-11-03 21:08:36
151,Katsuura,35.1333,140.3,59.14,65,92,9.33,overcast clouds,2021-11-03 21:08:36
152,Norman Wells,65.282,-126.8329,21.0,81,6,4.59,clear sky,2021-11-03 21:08:36
153,Puerto Ayora,-0.7393,-90.3518,80.56,76,83,10.04,broken clouds,2021-11-03 21:08:37
154,Villa Maria,-32.4075,-63.2402,79.83,57,0,9.66,clear sky,2021-11-03 21:08:37
155,Monrovia,6.3005,-10.7969,79.43,80,8,6.33,clear sky,2021-11-03 21:06:44
156,Kruisfontein,-34.0033,24.7314,53.89,77,0,3.09,clear sky,2021-11-03 21:08:37
157,Puerto Ayacucho,5.6639,-67.6236,83.95,76,99,3.96,overcast clouds,2021-11-03 21:08:38
158,Souillac,-20.5167,57.5167,73.36,83,11,7.25,few clouds,2021-11-03 21:08:38
159,Pisco,-13.7,-76.2167,69.85,73,0,10.36,clear sky,2021-11-03 21:08:05
160,Saint-Philippe,-21.3585,55.7679,71.19,80,4,6.64,clear sky,2021-11-03 21:01:49
161,Launceston,-41.45,147.1667,61.61,71,75,5.99,broken clouds,2021-11-03 21:08:38
162,Carnarvon,-24.8667,113.6333,66.72,71,0,19.8,clear sky,2021-11-03 21:08:39
163,Koshurnikovo,54.1667,93.3,4.42,71,100,3.4,overcast clouds,2021-11-03 21:08:39
164,Posse,-14.0931,-46.3694,72.77,80,99,1.57,overcast clouds,2021-11-03 21:08:39
165,Cayhagan,9.6697,122.4256,77.81,86,99,6.93,overcast clouds,2021-11-03 21:08:39
166,Margate,51.3813,1.3862,47.97,94,100,23.24,overcast clouds,2021-11-03 21:08:40
167,Balabac,7.9868,117.0645,81.12,82,100,11.12,overcast clouds,2021-11-03 21:08:40
168,Taoudenni,22.6783,-3.9836,87.96,15,0,5.28,clear sky,2021-11-03 21:08:40
169,Kungurtug,50.5994,97.5228,1.83,77,97,4.56,overcast clouds,2021-11-03 21:08:41
170,Olga,43.7444,135.2892,37.42,91,91,4.68,overcast clouds,2021-11-03 21:08:41
171,Dingle,10.9995,122.6711,75.31,93,94,6.62,overcast clouds,2021-11-03 21:08:41
172,Mahebourg,-20.4081,57.7,73.26,80,18,7.99,few clouds,2021-11-03 21:00:28
173,Hit,33.6416,42.8251,72.72,47,4,14.0,clear sky,2021-11-03 21:08:42
174,Ornskoldsvik,63.2909,18.7153,42.62,100,90,2.3,light rain,2021-11-03 21:08:42
175,Dalian,38.9122,121.6022,46.33,93,90,2.24,fog,2021-11-03 21:08:42
176,Anadyr,64.75,177.4833,-16.01,82,78,11.01,broken clouds,2021-11-03 21:08:43
177,Marsabit,2.3284,37.9899,71.38,53,68,11.54,broken clouds,2021-11-03 21:08:43
178,Namatanai,-3.6667,152.4333,81.21,81,89,7.74,light rain,2021-11-03 21:08:43
179,Castro,-24.7911,-50.0119,70.61,68,75,2.17,broken clouds,2021-11-03 21:01:47
180,La Rioja,42.25,-2.5,40.78,86,17,6.71,few clouds,2021-11-03 21:08:44
181,Praia Da Vitoria,38.7333,-27.0667,65.75,98,100,20.42,overcast clouds,2021-11-03 21:08:44
182,Tigil,57.8,158.6667,30.27,89,44,15.86,scattered clouds,2021-11-03 21:08:44
183,Zhangye,38.9342,100.4517,41.02,30,0,6.85,clear sky,2021-11-03 21:08:45
184,Polis,35.0367,32.4264,66.02,94,5,1.43,clear sky,2021-11-03 21:08:45
185,Camacha,33.0833,-16.3333,69.53,83,40,8.05,scattered clouds,2021-11-03 21:09:45
186,Brae,60.3964,-1.353,42.71,82,100,28.66,overcast clouds,2021-11-03 21:09:46
187,Clyde River,70.4692,-68.5914,21.56,86,97,32.21,light snow,2021-11-03 21:09:46
188,Koundara,12.4833,-13.3,81.09,67,57,5.17,light rain,2021-11-03 21:09:46
189,Vila Velha,-20.3297,-40.2925,76.95,73,75,14.97,broken clouds,2021-11-03 21:09:47
190,Arona,28.0996,-16.681,66.7,68,75,5.75,broken clouds,2021-11-03 21:09:47
191,North Bend,43.4065,-124.2243,67.95,94,90,5.75,overcast clouds,2021-11-03 21:05:11
192,Champasak,14.75,106.0,70.7,91,100,1.23,overcast clouds,2021-11-03 21:09:47
193,Khatanga,71.9667,102.5,7.02,91,100,17.74,light snow,2021-11-03 21:09:48
194,Brokopondo,4.75,-55.1667,84.07,69,65,6.38,broken clouds,2021-11-03 21:09:48
195,Mehamn,71.0357,27.8492,41.18,87,75,19.57,broken clouds,2021-11-03 21:09:48
196,Epe,6.5841,3.9834,77.43,90,69,5.5,broken clouds,2021-11-03 21:09:49
197,Port Lincoln,-34.7333,135.8667,56.64,75,6,7.49,clear sky,2021-11-03 21:09:49
198,Saint-Augustin,51.226,-58.6502,41.36,54,4,11.45,clear sky,2021-11-03 21:09:49
199,Sorata,-15.7667,-68.6333,53.92,71,39,10.74,scattered clouds,2021-11-03 21:09:50
200,Klaksvik,62.2266,-6.589,38.32,66,99,17.49,overcast clouds,2021-11-03 21:09:50
201,Sukpak,51.6667,94.6333,1.11,61,1,5.21,clear sky,2021-11-03 21:09:50
202,Provideniya,64.3833,-173.3,11.39,81,100,12.53,overcast clouds,2021-11-03 21:09:51
203,Narsaq,60.9167,-46.05,35.82,98,100,4.34,light rain,2021-11-03 21:03:00
204,Bathsheba,13.2167,-59.5167,83.01,69,20,10.36,few clouds,2021-11-03 21:09:51
205,Nome,64.5011,-165.4064,24.87,80,75,4.61,broken clouds,2021-11-03 21:09:51
206,Thomasville,35.8826,-80.082,54.45,51,90,6.33,overcast clouds,2021-11-03 21:09:52
207,San Jose,37.3394,-121.895,78.37,53,20,5.75,few clouds,2021-11-03 21:08:57
208,Clifton,40.8584,-74.1638,51.84,46,1,1.01,clear sky,2021-11-03 21:07:34
209,Cap Malheureux,-19.9842,57.6142,72.46,78,2,1.99,clear sky,2021-11-03 21:09:52
210,Bochnia,49.9691,20.4303,49.37,81,100,12.35,overcast clouds,2021-11-03 21:09:52
211,Faya,18.3851,42.4509,55.92,32,5,3.69,clear sky,2021-11-03 21:09:53
212,Najran,17.4924,44.1277,63.14,34,0,0.74,clear sky,2021-11-03 21:09:53
213,Xining,36.6167,101.7667,34.05,50,1,2.19,clear sky,2021-11-03 21:09:53
214,Almeirim,-1.5233,-52.5817,84.74,61,99,2.06,overcast clouds,2021-11-03 21:09:54
215,Shimoda,34.6667,138.95,60.39,75,24,6.15,few clouds,2021-11-03 21:09:54
216,Beian,63.6559,9.5683,45.01,100,20,4.61,few clouds,2021-11-03 21:09:54
217,Kudahuvadhoo,2.6708,72.8944,83.14,76,100,19.46,overcast clouds,2021-11-03 21:09:54
218,Mbandaka,0.0487,18.2603,72.05,95,97,2.95,light rain,2021-11-03 21:09:55
219,Geraldton,-28.7667,114.6,52.21,87,0,6.91,clear sky,2021-11-03 21:00:27
220,Harboore,56.6175,8.1807,39.97,84,19,7.96,few clouds,2021-11-03 21:09:55
221,Khash,28.2211,61.2158,59.59,12,100,0.63,overcast clouds,2021-11-03 21:09:55
222,Kaeo,-35.1,173.7833,61.32,72,90,7.67,overcast clouds,2021-11-03 21:09:56
223,Domodossola,46.1165,8.2931,49.6,95,100,1.99,overcast clouds,2021-11-03 21:09:56
224,Bandar,2.05,99.75,73.27,97,100,0.98,light rain,2021-11-03 21:09:56
225,Raudeberg,61.9875,5.1352,45.27,71,8,4.27,clear sky,2021-11-03 21:01:44
226,Bom Conselho,-9.1697,-36.6797,80.02,53,100,15.12,overcast clouds,2021-11-03 21:09:57
227,Griffith,41.5284,-87.4237,46.0,47,40,1.99,scattered clouds,2021-11-03 21:09:57
228,Ayan,56.45,138.1667,28.6,71,100,5.82,overcast clouds,2021-11-03 21:09:57
229,Thinadhoo,0.5333,72.9333,83.14,73,77,17.4,broken clouds,2021-11-03 21:09:58
230,Mgachi,51.05,142.2667,28.56,95,69,5.97,broken clouds,2021-11-03 21:09:58
231,East London,-33.0153,27.9116,64.2,84,0,9.08,clear sky,2021-11-03 21:09:58
